HA,p38,pAKT,pCREB,pERK,pS6,variant_ID,variant_ID_num
10850.1,17215.2,13800.7,16539.4,9849.08,1208.39,WT_2,2
19767.4,17341.6,10040,11719,9899.07,710.683,WT_2,2
5683.73,22882.6,7569.1,16602.3,2011.33,2104.68,WT_2,2
2534.83,29055.9,5874.44,3986.05,3642.92,1549.6,WT_2,2
9105.45,26421.4,9098.86,13656.1,4779,53.7853,WT_2,2
15001.5,20149.2,6234.69,4340.67,4344.18,552.198,WT_2,2
11187.4,21227.3,4296.08,5410.71,2326.5,512.937,WT_2,2
3981.44,25611.7,5993.29,7177.77,2944.95,1944.51,WT_2,2
992501,266357,93664,80590.4,58261.2,8726.03,WT_2,2
5516.54,27169.2,6806.56,10442.8,3024.29,2206.18,WT_2,2
5475.13,22970.6,6234.62,7715.7,1863.53,2602.49,WT_2,2
687926,126093,31684.4,16744.1,14589.8,25189.6,WT_2,2
9887.93,16086.6,10912.1,15961.6,7903.11,5004.98,WT_2,2
14585.8,15430.4,5945.51,11844.4,3437.85,838.025,WT_2,2
884633,230417,64286.8,86911,27937.1,72824.7,WT_2,2
1250000,263079,111714,45802.5,60533,49800.6,WT_2,2
1641.19,39976.1,10747.2,1742.88,2915.12,-1407.32,WT_2,2
690860,65463.6,18307.4,32967.6,9689.84,91563,WT_2,2
6008.81,25146,9511.85,5186.87,3323.34,2427.28,WT_2,2
706261,117983,48315.6,31927.2,45554.9,10634,WT_2,2
13733.3,18014.6,8559.87,8067.69,7252.8,-1035.63,WT_2,2
10899.4,23926.4,7877.15,7562.05,1706.87,-137.867,WT_2,2
3468.77,21935.7,3698.37,22788.6,4826.78,1190.76,WT_2,2
878123,179569,44729,31383.8,14655,45370.6,WT_2,2
889546,289179,89388,63655.6,38589.7,13199.3,WT_2,2
-133.166,27834.1,2596.08,5549.47,2597.04,-2328.66,WT_2,2
1039810,241959,87819.3,50104.9,28445.7,85744.3,WT_2,2
5883.14,21427.8,1531.57,12549.2,14165.3,4176.32,WT_2,2
919620,234772,76906.9,76980,95759.4,10223.7,WT_2,2
800276,95762.8,30636.3,23799.6,14056.7,83013.5,WT_2,2
693547,94656,33006,34544.1,7271.49,60993.7,WT_2,2
9495.45,23149.2,4775.13,7529.36,3007.36,-166.508,WT_2,2
12210.1,25906.2,5040.83,11192.6,5930.34,866.546,WT_2,2
669279,84061.5,21067,22120.2,13423.9,32256.7,WT_2,2
-14.4758,25667,4320.26,12988.9,2895.96,-409.459,WT_2,2
9867.91,20604.7,4504.01,10802,11347.8,-2923.27,WT_2,2
613266,55322.2,17490,18704.2,4373.12,9912.11,WT_2,2
856597,136313,16340.4,39497.4,59334.7,21334,WT_2,2
3235.62,26953.6,6602.63,7107.54,2754.4,2771.43,WT_2,2
13265.5,15179.7,5332.87,5424.1,12009.6,2086.33,WT_2,2
2431.23,25912.7,8274.55,6370.01,1270.2,-1324.34,WT_2,2
818047,223049,64497.5,48726.9,15321.1,19567.6,WT_2,2
591125,76442.3,18318.8,17143.5,-20052,34324.9,WT_2,2
18708.6,18881.9,7691.7,11322.6,6638.51,6147.65,WT_2,2
607084,46755.6,29259.6,15079.9,12125.2,24518.2,WT_2,2
627078,62144.8,19720.7,23556.1,17010.9,13237.6,WT_2,2
1671.66,40368,3506.58,2663.71,3096.98,-1770.53,WT_2,2
13980.4,16202.3,3899.67,10878.7,14299.1,9199.37,WT_2,2
735454,141288,34550.1,32135.3,31014.5,16043.6,WT_2,2
3012.72,27508.5,7492.2,3607.66,2135.81,2032.8,WT_2,2
16498.3,21437.2,11913.5,6979.45,8369.97,-1198.93,WT_2,2
17898.9,18876.2,6282.96,8100.1,9189.29,3543.68,WT_2,2
848589,227344,53810.2,51732,20125.1,44060.5,WT_2,2
631821,94141.1,36668.5,21538.7,42805.8,11298.6,WT_2,2
15086,22739.7,5287.79,10569.5,2028.51,-348.259,WT_2,2
650694,108697,33362.8,29713.8,33464.3,7359.41,WT_2,2
3228.88,24985.2,6599.65,1343.28,3662.49,3940.37,WT_2,2
938627,224421,59296.7,104158,84280.2,46788.3,WT_2,2
1238080,305384,101477,65241.7,90970.7,89214.7,WT_2,2
11835.4,19470,6344.31,5044.59,15731.3,3685.27,WT_2,2
592068,56903.5,12858.8,17995.2,-411.136,2415.41,WT_2,2
593268,82565.5,19535.4,18896.3,22423.7,-2341.65,WT_2,2
590656,72224.6,18784.5,35496.2,18475.1,16955.7,WT_2,2
9511.14,20199.6,8955.03,10771.8,9762.5,5048.29,WT_2,2
15722.6,13357.3,7004.18,8416.3,1144.49,646.056,WT_2,2
8718.63,21000.7,7793.28,10655.5,10770,3890.5,WT_2,2
665956,83264,17560,17476.3,9177.01,7703.03,WT_2,2
1261810,412282,183622,91582.6,46142.8,127494,WT_2,2
15608.8,13257.1,7322.8,12807.9,8756.73,2413.99,WT_2,2
11782.4,17829.3,6198.32,6867.47,4492.05,1236.74,WT_2,2
16009.3,21164.9,6683.87,9835.29,8020.59,2750.02,WT_2,2
10444.7,18783.1,11875.7,11398,3887.5,2251.79,WT_2,2
9086.57,27011.4,8465.33,2881.44,1081.72,754.105,WT_2,2
13201.1,20107.5,11121,9130.62,3853.69,1193.17,WT_2,2
16304.4,18739.1,10723.7,3727.68,7787.92,3216.73,WT_2,2
3240.63,16907.4,9536.92,12832.9,12754.4,8759.94,WT_2,2
10081.2,17425.3,7738.62,9894.08,11452,574.957,WT_2,2
14655.7,20342.5,8287.99,5531.49,4396.37,2234.92,WT_2,2
996974,206718,56022.4,61608.5,41334.5,21242.7,WT_2,2
5733.56,37490.7,2751.64,3536.74,3525.08,-2162.91,WT_2,2
1040210,243608,49083.8,70810.1,77870.6,119667,WT_2,2
2838.54,40423,11008.4,1317.09,1909.15,239.396,WT_2,2
3279.85,27695,7213.3,1911.64,1473.46,-756.54,WT_2,2
10317,21497.3,7093.31,10436.2,5192.74,2271.65,WT_2,2
764239,99292.1,28267.7,18688.7,25887.9,-3099.62,WT_2,2
4505.41,25171,8772.17,3694.58,2869.02,2395.8,WT_2,2
670982,119072,16718.9,60721.9,47567.3,17922.2,WT_2,2
6872.81,18651.1,8344.52,10655.1,7941.47,8083.22,WT_2,2
1007260,183628,72432.3,60646.8,40827,17760,WT_2,2
1682.8,30553.1,8912.97,3409.42,3163.15,1778.74,WT_2,2
620421,85459.8,34955.5,15361.4,14640.2,24327.2,WT_2,2
14814.1,11966.8,5920.36,7843.39,6343.23,-1713.32,WT_2,2
700416,94030.1,51497.5,36211.8,10393.4,21735.9,WT_2,2
640430,113669,33345.1,29407.4,66047.7,6800.24,WT_2,2
5168.13,23923.8,8927.9,12719.8,11411,8577.62,WT_2,2
607537,74729.5,20827.1,18323.8,20205.4,3712.21,WT_2,2
749388,90914.4,33850.9,28554.7,59866.8,28014.5,WT_2,2
6193.96,20163.9,7861.45,16919.2,10354.5,2080.97,WT_2,2
11250.8,22422.9,7653.3,6426.83,2728.31,3288.03,WT_2,2
8813.6,21665.7,9304.28,15684,6328.44,2048.25,WT_2,2
3124.21,31793.1,6961.78,6167.14,1763.29,279.624,WT_2,2
3022.86,23452.6,2773.61,18604.2,2304.85,454.569,WT_2,2
1305240,212397,128248,62900.2,44618.7,168570,WT_2,2
12154.1,16913.9,8720.16,7458.3,3139.12,3156.9,WT_2,2
3395.84,20264.7,10102.5,14546.6,11695.7,9401.16,WT_2,2
10540.7,20739.5,3951.66,8708.51,11066.5,10398,WT_2,2
17421.4,22710.1,7868.58,8157.81,4257.09,94.8632,WT_2,2
10278,30962.9,3232.78,13406.1,5203.92,2617.53,WT_2,2
809.1,34622.3,6872.65,4620.24,2261.06,211.282,WT_2,2
7379.02,17707.7,12183.5,12057,10157.2,5111.65,WT_2,2
933777,197409,77691.4,30543,-1233.91,87972.4,WT_2,2
670274,81529.6,52231.4,15749.8,8611.86,22809.2,WT_2,2
748863,80884.7,38208.5,24115.4,33775.2,22655,WT_2,2
11901.3,16103.5,2586.96,8161.88,12672.3,3151.22,WT_2,2
15081.2,13051.4,5351.4,6238.08,3251.8,2148.13,WT_2,2
497.934,25829.4,5630.71,4816.24,3467.43,-1886.68,WT_2,2
6473.39,21705.3,9739.45,14638.7,1576.84,2287.4,WT_2,2
11514.9,19643.5,10558.9,6610.14,6061.71,2326.19,WT_2,2
5826.83,28417.9,5869.83,12133.8,6500.35,-606.346,WT_2,2
5416.31,36897.8,4178.32,5697.36,416.325,3973.04,WT_2,2
17893.2,21410.5,5157.53,4777.61,3520.14,2330.77,WT_2,2
9281.07,21896.6,8627.96,13788.6,10731,3489.15,WT_2,2
2384.6,34053,8299.81,6325.71,846.229,3150.72,WT_2,2
638615,72815.9,30932.4,17355.1,27764.3,9159.02,WT_2,2
1139410,202746,89014.5,47907.7,43080.3,2128.54,WT_2,2
4855.88,30675.2,-794.728,15295.1,-191.173,933.646,WT_2,2
1785.73,35145.6,2050.48,972.331,1778.04,-1427.69,WT_2,2
20355.3,21583.9,4109.72,6406.39,6683.16,2658.83,WT_2,2
692239,134484,36848.3,24232.2,20911.2,12910.7,WT_2,2
589451,61716.4,22157.3,12381.7,12774,13907.8,WT_2,2
5911.17,29749.1,3609.32,10124.2,1918.78,1423.28,WT_2,2
1809.92,27363,7987.23,4151.5,2500.37,4258.65,WT_2,2
6333.44,17460.8,9861.23,11426.7,11685.2,7067.95,WT_2,2
828420,202165,82650.2,67461.1,39722.6,19474,WT_2,2
700688,115990,30502.3,41984.6,48957.8,43949.1,WT_2,2
13226.3,17347.5,8740.08,11505,11541.5,2806.22,WT_2,2
3074.17,28956.5,7485.4,10292,6722.81,-904.3,WT_2,2
14755.9,12666.3,5287.76,5515.81,4584.9,1171.35,WT_2,2
-610.7,27005.8,4031.75,15238,4122.6,-1604.76,WT_2,2
672773,106260,39554.3,31349.5,11757,35458.6,WT_2,2
625245,58802.8,9095.52,30317.9,4910.65,-3890.71,WT_2,2
12319.4,13652,11319.8,10080.5,7443.01,-1041.64,WT_2,2
3142.25,25716.8,5421.09,8635.18,2648.29,-1182.46,WT_2,2
15114.6,18056.7,8009.93,6108.05,5928.27,4281.35,WT_2,2
18486,16719.9,8215.02,2222.99,3394.74,8581.82,WT_2,2
8955.33,23163.4,8202.62,16781.5,8836.19,1822.41,WT_2,2
1020140,336653,156276,63691.3,66444.1,45183.3,WT_2,2
1200860,283565,85037.8,66180.9,50206.5,105437,WT_2,2
8842.38,16844.9,13113.4,15468.9,2903.05,3669.03,WT_2,2
16620.7,18101,8149.97,3886.5,10088.5,1748.89,WT_2,2
998342,315108,71991.6,63363.4,38297.4,42163.2,WT_2,2
13582,15413.3,3144.81,7408.82,16680.7,3155.34,WT_2,2
10988.6,18702,5917.72,5329.48,8220.75,-215.288,WT_2,2
13559.4,17346.6,13037.2,9581.2,3508.63,4130.55,WT_2,2
6657.84,22456.4,9849.34,15395.5,6807.23,104.191,WT_2,2
9094.24,17968.1,9205.19,8947.94,7584.17,4428.19,WT_2,2
604841,60469.4,25194.1,19381.8,9128.66,14566.7,WT_2,2
14743.2,15365.7,6208.93,3617.09,4435.72,2084.21,WT_2,2
6472.08,26361.5,-286.941,19419.8,502.046,-429.729,WT_2,2
42.8611,30316.2,9414.98,2288.59,2446.73,-79.2753,WT_2,2
820284,155904,33333.4,55474.1,36310.1,5952.29,WT_2,2
17256.5,19895.3,10324.5,6090.94,2576.74,-157.788,WT_2,2
691164,106486,27647.3,22329.6,8261.15,22778.9,WT_2,2
625301,58985.5,19218.8,23857.3,41459.8,8661.57,WT_2,2
774567,158256,43860.2,37700.8,59238.9,18682.3,WT_2,2
796939,212130,81157.4,48717.5,43761.7,40032.1,WT_2,2
5401.45,27524.5,3324.27,10958.1,2242.7,3668.29,WT_2,2
18354.9,17235,8862.87,11037.6,10307.4,-2344.34,WT_2,2
1196330,262648,101660,52376.1,181695,58905,WT_2,2
14565.8,18290,10096,7100.24,8527.7,212.332,WT_2,2
15970.5,17671.3,5723.41,6971.59,12886.2,110.294,WT_2,2
14188,20196.2,9125.02,4228.22,7544.38,-326.47,WT_2,2
13146.4,13609.1,3352.32,9584.21,12564.4,5315.04,WT_2,2
18214.8,11615.2,7743.4,17347.2,4406.74,5765.9,WT_2,2
9161.5,21877.4,4193.55,8430.8,8900.07,2907.45,WT_2,2
9751.6,17203.1,6862.71,10761.2,9772.65,2868.55,WT_2,2
578622,72146.2,18750.1,20936,32184.7,17012.1,WT_2,2
592019,82495.6,19820.2,14187.3,25211.2,9039.19,WT_2,2
616500,62257.9,19461.3,28749.7,13737.3,-3542.67,WT_2,2
1241820,376264,164500,119835,88077.2,198181,WT_2,2
1113240,228269,92583.2,49891.9,29932.3,77415.5,WT_2,2
1800.13,36263.5,2695.18,6498.8,885.046,-36.1282,WT_2,2
723030,112078,59015.7,35555,28045.1,23008.2,WT_2,2
4992.89,27881,3897.64,10375.3,5328.7,-1866.29,WT_2,2
12260.7,16999.9,5284.26,5080.56,5720.25,2169.82,WT_2,2
698774,111913,41428.4,35297.7,31610.2,5478.14,WT_2,2
18296.3,17882.4,13665.7,7069.73,2373.47,945.109,WT_2,2
4505.01,28905.4,6114.05,9830.19,3853.5,-1483.57,WT_2,2
12870.7,17835.3,2151.78,15544.4,10145.7,9279.02,WT_2,2
630530,71468.8,26934.5,23940.7,55351.1,-11580.8,WT_2,2
12061,18840.4,9029.21,18363.3,7363.93,-1205.32,WT_2,2
614949,65290.5,10443,23055.3,23520.3,-2502.72,WT_2,2
4456.18,35771.7,7280.19,1175.56,702.724,556.296,WT_2,2
6012.65,27891.6,1998.4,12025.1,5450.91,-29.6764,WT_2,2
609550,67811.4,22143.9,8109.1,6615.53,8205.76,WT_2,2
14617.5,17347.3,5127.06,10156.7,11462.4,1869.19,WT_2,2
3327.79,21929.2,10439,15553.5,9859.59,7761.72,WT_2,2
18202.8,11299.3,9506.48,8860.62,7583.92,741.962,WT_2,2
11143.9,15365.2,4570.17,4938.98,3974.44,4371.71,WT_2,2
-591.351,26193.4,5450.96,7174.91,3382.68,-1368.55,WT_2,2
6486.37,18002.5,7908.07,15320.4,10538.8,9475.2,WT_2,2
2869.52,30358.2,7756.05,9561.34,2932.17,1321.73,WT_2,2
18270.5,15348.9,6839.69,5716.79,6851.79,-567.397,WT_2,2
588156,51827.5,24818.5,12510.8,15581.4,39430.9,WT_2,2
768490,100990,42800.4,23148.8,8932.42,48556.4,WT_2,2
650389,87748.4,31079.2,24609.3,32708.3,10834.7,WT_2,2
618120,56405,4787.03,15520.3,6719.86,-2013.99,WT_2,2
13441.1,14637.3,8311.78,8634.06,6371.15,-3286.2,WT_2,2
10278.4,17461.9,8935.53,7532.21,9527.04,2035.29,WT_2,2
653345,89993.1,29701.8,22059.8,28915.1,15297.8,WT_2,2
16452.1,23879.9,6774.82,7937.96,5155.25,-787.354,WT_2,2
700641,111137,23243.5,34061.9,29854.9,15314.1,WT_2,2
621970,69610.8,34676.6,16007.7,8222.1,12225.2,WT_2,2
17075.8,16893.6,6120.05,7300.51,5387.22,1732.49,WT_2,2
697676,90627.8,22118.9,20949.2,14529.8,16101.9,WT_2,2
7085.85,19085.8,10951.4,10525.1,11077.4,7321.27,WT_2,2
17074.7,17435.5,11419.4,9685.98,9054.23,-3.3397,WT_2,2
666.077,27958.5,4774.84,10950.5,2309.84,1713.42,WT_2,2
756567,105607,36447.6,26619.6,23639.8,16146.7,WT_2,2
787780,123800,53080.7,28560.3,23495.7,9802.75,WT_2,2
3729.34,26270.4,1922.5,12606.7,2104.28,3830.52,WT_2,2
651840,90097.5,25844.9,28936.5,10371.7,44546.6,WT_2,2
-1616.52,31991.1,2541.22,5430.32,2957.23,-1497.77,WT_2,2
685254,101584,39613.1,34888.3,22280.9,36421.5,WT_2,2
661688,95873.2,38192.8,28956.7,1515.42,43301.3,WT_2,2
864254,225328,90728.4,55833.2,20941.8,51025.1,WT_2,2
694374,88913.3,42593.8,19546,16718.6,23267,WT_2,2
12793.6,20327.4,2869.74,14142,7015.77,-117.186,WT_2,2
776673,99241.5,31136.4,43859.5,70278.7,32212.9,WT_2,2
14868.7,18539.9,5617.35,10263.6,2077.98,1328.45,WT_2,2
3661.3,30258.4,1476.05,996.968,676.171,-142.033,WT_2,2
20069.9,16664.4,10530.2,7585.58,5336.63,6232.47,WT_2,2
951355,247365,81124.8,41250.6,34558.5,57291.3,WT_2,2
12824.5,21727.5,10400.6,8178.75,4930.88,767.703,WT_2,2
11815.4,19994.1,5111.01,7750.91,16765.4,670.064,WT_2,2
1011840,200948,68359.7,32713.8,28266.8,55403.4,WT_2,2
1014640,315348,93812.7,111307,109517,56453.8,WT_2,2
1008530,392799,138514,85897.2,71782.5,61270.9,WT_2,2
13529.7,16876.6,7846.77,11571.2,3195.97,8031.22,WT_2,2
1289.8,26773.7,6663.95,5170.79,3129.8,-2033.62,WT_2,2
11146.9,21867.9,2522.78,10557.2,10564.5,-4770.06,WT_2,2
787592,135688,50384.6,50254.4,29829.7,13621.5,WT_2,2
19728.1,15870.1,3828.09,10453.9,8085.52,-171.482,WT_2,2
11824.4,20363.5,3733.03,3849.69,3079.36,2446.89,WT_2,2
12987.3,18576,12069.8,7747.06,8376.66,-269.461,WT_2,2
6756.36,21260,5439.89,9748.95,11988.6,6048.63,WT_2,2
634572,97469.8,33124,31390.7,17987.9,5986.73,WT_2,2
5531.36,20056.7,7178.65,9789.73,12618.9,10080.3,WT_2,2
6309.22,24161.9,8120,6516.96,2778.19,692.601,WT_2,2
5284.19,28637.1,6644.09,6743.94,2997.97,5798.12,WT_2,2
6836.94,17986.2,10929.6,14218.4,2641.6,4701.59,WT_2,2
583130,73751,26579.7,24070.8,43933,23236.3,WT_2,2
664382,76293.3,36380.8,34533.6,55148.9,69078.7,WT_2,2
670111,88749.5,24686.3,42939.1,14566.2,33094.5,WT_2,2
826.61,28739,5723.79,13484.4,4272.35,2434.24,WT_2,2
14942.8,24073.5,8027.86,8158.07,3461.66,3100.91,WT_2,2
678119,89656.2,29471.7,26597.4,19216.9,17278.5,WT_2,2
10657.5,20112.8,5747.23,8733.64,9577.07,11167.9,WT_2,2
589057,62346.1,13795.8,15604.8,13469,9209.31,WT_2,2
9464.51,17514.5,10832,13926.7,8452.02,10816.8,WT_2,2
5496.69,21381.6,2761.41,18609.1,4040.13,-89.3443,WT_2,2
2256.94,38121.9,6897.6,638.515,387.321,-872.04,WT_2,2
18142.8,17145.9,11662.3,13724.6,7565.41,3309.59,WT_2,2
1242900,178437,62639.6,35491.9,20692.4,39922.5,WT_2,2
15382.5,17237.9,5190.99,6393.58,13210.3,3411.44,WT_2,2
848106,126259,13243.3,32230.8,69945.2,-7425.48,WT_2,2
2612.67,27907.6,3373.91,15371.1,2387.9,388.129,WT_2,2
18655.2,14746.4,1223.33,13621.8,5736.59,657.692,WT_2,2
644436,118282,37061.4,45516.5,50295.4,121537,WT_2,2
15076.8,17083.4,7448.33,4002.84,4566.13,5591.59,WT_2,2
17437.1,12016.7,9710.12,13662.6,5781.08,958.443,WT_2,2
812073,127803,45162,58315.3,55006,68112.6,WT_2,2
848470,127483,47720.7,43113.2,55946.7,81605.3,WT_2,2
1009610,291712,116431,73512.2,59035.4,59027.5,WT_2,2
3478.81,34798.3,6394.31,260.869,1476.89,4456.61,WT_2,2
10392.8,20815.6,4828.04,9127.43,13297.7,2487.14,WT_2,2
-3180.19,28902.9,4281.57,1832.57,3535.04,-2758.27,WT_2,2
19668.3,13893.4,4753,9288.21,2876.73,3321.69,WT_2,2
608962,104938,26809.7,38550,48910.6,15576.1,WT_2,2
16076.3,20885.4,11220.2,6129.02,5514.58,2604.65,WT_2,2
6545.84,19819.1,6561.03,12676.2,10742.3,8194.98,WT_2,2
13960.2,15503.7,11986.1,5606.05,3808.85,5070.08,WT_2,2
11340.2,19173.2,8011.56,4168.21,6170.6,971.811,WT_2,2
971447,177425,66988,55514.4,44521.9,98335.6,WT_2,2
16434.1,15187.5,12018.5,3382.5,5261.8,-1801.78,WT_2,2
18635.7,19908.2,4525.24,7905.6,5255.61,923.588,WT_2,2
6416.39,15854.5,5901.05,12955.8,11271,10376.2,WT_2,2
6362.16,19712.5,11231.8,13440.7,12749.2,9842.1,WT_2,2
11259.6,19724.4,4313.66,9485.86,2638.73,969.168,WT_2,2
10308.3,21803.6,7483,11607.5,8937.79,406.575,WT_2,2
811166,172255,81648.5,51332.7,32546.1,44400.9,WT_2,2
18444.8,16658.6,9152.91,7725.06,4009.93,3897.1,WT_2,2
8717.92,29115,4924.73,10789.2,2840.49,1615.07,WT_2,2
1117680,230152,80285.8,75682.7,49625.6,52617.6,WT_2,2
4744.37,25800.5,6830.1,7383.71,5340.83,5751.77,WT_2,2
17451.7,16684.6,5673.39,10237.1,7680.19,97.2016,WT_2,2
12676.4,19809.1,12102.1,15305.5,2999.42,571.286,WT_2,2
7020.86,35594.5,4180.5,7982.94,2305.81,567.316,WT_2,2
984627,347491,130642,103024,89182.5,39531,WT_2,2
947910,310839,101339,72556.9,46892.5,85762.1,WT_2,2
9841.92,25532.3,7855.45,13410.9,5601.04,1917,WT_2,2
3326.92,30381.6,6653.15,10210.4,2268.82,2523.35,WT_2,2
2720.37,24378.4,3061.79,3308.24,1970.61,-886.041,WT_2,2
11776.7,11711.2,8807.46,15135.7,7818.13,6548.43,WT_2,2
8906.98,19752.9,5700.51,12551.4,8453.62,3787.67,WT_2,2
772766,157781,63947.1,45307.6,27654.9,42367.9,WT_2,2
1208940,267465,100454,51302.5,35768.5,67025.8,WT_2,2
883774,240281,61423.5,56677.1,22709.9,73017.8,WT_2,2
779521,79936.2,34693.7,31355.6,17996.6,114356,WT_2,2
978832,236246,106248,72355,69060.4,54232.3,WT_2,2
900606,341291,101080,111028,121407,217851,WT_2,2
980367,291268,128597,64483.1,58038.2,94874.6,WT_2,2
610439,76156.7,25700.7,15424.9,23599.1,18521.9,WT_2,2
