"ArAr80Di","BCKG190Di","Ba138Di","Bi209Di","Ce140Di","Ce142Di","Center","Cs133Di","Eu151Di","Eu153Di","Event_length","Gd156Di","Ho165Di","I127Di","Ir191Di","Ir193Di","Lu175Di","Lu176Di","Offset","Pb207Di","Pb208Di","Pt195Di","Pt196Di","Residual","Rh103Di","Xe131Di","Time"
71.9238,0.669422,926.992,0.53997,2.39892,0,478.28,0,0,2.78405,12,0,0,1.80776,0,0,0,0,127.77,0.437181,15.7595,0,0,86.597,0,0,0.0775796
71.6533,0,1.86397,0.99025,0,0,0,0,0,0,10,0,0,0.165301,0,0,0,0,0,117.999,240.939,0,0,0,0,0,0.183202
64.2426,0,198.271,0,1.48651,0,0,0,0,0.171594,10,0,0,0.086046,0,0.421852,0,0,0,0.713972,4.43156,0,0,0,0,0,0.956401
114.993,0,1068.88,0,2.59846,0.182061,519.387,0,0,0,13,0,0.66308,0.199213,0,0,0,0,81.089,6.48198,10.9058,0,0,99.902,0,0,1.05143
154.104,0,749.699,0,0,0,1004.77,0,0,0.225099,20,0,0,9.37243,0,0,0,0,92.131,5.73646,8.11326,0,0.272051,223.53,0,0,1.51488
68.7829,0,277.533,0,0.738756,0.299009,617.827,0,0,0,10,0,0,2.53223,0,0,0,0,35.643,7.21443,13.9394,0,0,179.917,0,1.62538,1.57796
95.1044,0,797.405,0,1.72586,0.120326,621.167,0,0,0.169327,13,0,0,5.19903,0.352746,0.033761,0,0.41486,114.974,9.52209,25.234,0,0,109.028,0,0,1.64554
112.4,0,50.388,3.2993,0,0,680.658,153.088,0,0.898832,17,0,0,4.08611,14.4827,26.1272,0,0,95.815,210.871,461.74,0.333995,0,95.214,0,0,1.92569
93.4534,0,256.553,0,0,1.88332,0,0,0,0.417323,13,0,0,3.28611,0,0,0,0,0,1.83731,5.69881,1.33782,0,0,0,2.88904,1.96209
119.519,0,440.551,0,0,0.771147,613.726,0,0,0,18,0,0,3.56168,0,0,0,0,26.37,4.5872,12.7895,0,0,304.519,0,0.937043,2.04014
134.265,0,1130.85,2.77851,0,0,394.899,0,0,0,15,0,0,13.6352,0,0,0,2.62817,83.112,7.33814,11.4684,0,0,84.988,0,0,2.05195
139.626,0,2151.12,0,1.89384,0,749.833,0,0,1.11162,15,0,0,2.01307,0,0,0,0,86.908,2.7136,22.9161,0,0,89.522,0,0,2.16237
133.5,0,31.437,5.48887,0.517015,0,0,20.8711,0,0,15,0,0.486846,4.39395,9.27002,21.421,0,0,0,60.1673,156.572,0,0,0,0,2.21657,2.23796
118.614,0,538.247,0,3.14971,0,616.807,0,0,5.75479,14,0,0,0.235589,4.21413,0,0,0,37.089,2.13799,6.15227,0.456876,0,178.871,0,0,2.58299
83.1773,0,600.895,0,7.98275,1.85635,435.516,0,0,1.74879,12,0,0,4.47172,0,0,0,0,81.863,16.7352,21.8676,0,0,130.71,0,0,2.64312
91.6244,0,1076.21,0,1.65043,0.884614,494.596,0,0,0.434006,12,0,0.540437,0.837933,0,0,0,0,125.442,2.72742,20.3827,0,0,110.627,0,0,2.79983
78.2636,0,1753.5,0,4.72506,0.493154,577.288,0.233143,0,0.417024,13,0,0.495219,5.17244,0.597237,0,0,0,79.078,13.4875,17.3444,0,0,84.115,0,0,2.92887
128.674,0,281.842,0,2.86784,0,410.959,0,0,0,13,0,0,1.627,1.24735,0,0,0,90.416,3.91127,10.3387,0,0,248.241,0,0,3.25136
130.335,0,434.805,0,1.9078,2.46549,593.695,0,0,0,14,0,1.30251,6.04853,0,0,0,0,41.694,0,6.92313,0,0,172.006,0,0,3.83148
111.196,0,394.1,0,0.802128,0,492.801,0,1.32795,3.43309,13,0.622437,0,6.58865,0,0,0,0,81.57,0,17.6187,0,0,148.597,0,1.77717,4.16909
126.741,0,799.392,0,0.746004,0.276326,447.045,0,0,0,14,0,0,0.236512,0,0,0,0,114.538,9.46596,7.56723,0,0,210.227,0,0.476202,4.49953
116.68,0,1373.56,0.591319,4.9541,4.56211,539.215,0,0,0,14,0,0,2.36118,0,0,0,0,85.334,7.05162,27.1471,1.4104,0,69.118,0,0,4.66875
99.7583,0,979.794,1.10173,3.78005,0,517.356,0,0.365051,3.15275,14,0,0.405299,0.223602,0,0,0,0,100.521,12.7239,19.6036,52.1838,38.3222,121.119,0,0,4.76387
97.8218,0,198.238,0,0,0,0,0,0,0,14,0,0,3.24894,0,0,0,0,0,1.35566,2.52967,0,0,0,0,0,4.88533
108.955,0,929.298,0,0.998083,0,617.625,0,0,0,15,0.987766,0,6.25428,0,0,1.14777,0,105.744,2.11209,15.9963,0,0,176.634,0,1.513,5.59888
78.2162,0,772.758,0,1.79905,0.161683,725.042,0,0,0.247893,14,0,0,4.57709,0,0,0,0,110.045,2.03073,12.7862,0,0,127.696,0,0.723412,5.61129
48.101,0,346.791,0,0,0,0,0,0,2.41757,10,0,0,6.24384,0,0,0,0,0,0.567718,6.48148,0,0,0,0,0,5.84096
144.084,0,253.117,0,0,0,587.989,0,0,0,14,0,0,3.55359,0,0,0,0,28.1,2.70192,9.68185,0,0,274.303,0,1.45047,6.1547
106.23,0,1694.1,0,0.791977,0,490.35,0,0,0,13,0,0,0.217675,0,0,0,0,78.53,6.76083,27.5604,0,0,70.494,0,0.813226,6.44307
56.0979,0,486.298,0,3.06217,0.318403,437.512,0,0,5.77956,11,0,0,6.87847,0,0,0,0,89.032,0.842906,3.26152,0,0,67.03,0,0,6.4949
135.166,0,352.05,0,0.482305,0,821.154,0,0,0,15,0,0,12.0735,0,0,0,0,85.367,3.38567,4.85059,0,0,290.234,0,0,7.2454
89.3031,0,175.074,0,0.874288,0,0,0,0,0.71745,10,1.07082,2.78113,4.23298,0,0,0,0.602168,0,2.01316,3.08295,0,0,0,0,0,7.65824
138.336,0,264.978,0,0.760327,0,725.688,0,0,0,14,0,1.66136,0.202147,0,0,0,0,22.912,1.82513,6.17343,0,0,296.606,0,0,7.76402
83.8265,0,540.502,0,1.43282,0.939698,312.065,0,0,0,11,0,1.16608,4.46961,0,0,0,0,44.716,5.22829,12.8267,0,0.111163,161.059,0,2.33259,8.20687
101.315,0,1222.65,1.62873,2.85857,0,452.675,0,0,0,14,0,0,0,0,0,0,0,95.563,12.9511,24.3263,0,0,59.215,0,0.785417,8.44471
93.2396,0,1074.23,0,0.850599,0.583832,702.272,0,0,0.945137,17,0,0,5.85027,0,0,0,1.34001,108.252,1.12149,7.30471,0,0,103.319,0,0,8.51115
83.2025,0,238.373,0,5.8327,0.853014,320.317,0,0,0,10,0,0,5.0727,0,0,0,0,58.601,2.94888,2.54386,0,0.57749,140.479,0,0,8.92683
93.4092,0,974.936,0.174383,3.00429,2.30644,566.047,0,0,1.20478,13,0,0,0,0,0,0,0,119.253,5.86095,7.80332,0.477488,0,93.03,0,0,9.19762
159.763,0,3701.89,0,0,1.45278,902.14,0,0,4.35583,19,0,0.184065,5.44995,0,0,0,0,83.274,15.8354,63.0057,0,2.84873,62.68,0,4.88182,9.25554
48.3622,0,722.359,0.968181,0.819189,0,441.666,0,0,2.68291,11,0,1.23481,2.21718,0.59884,0,0,0,152.806,8.41717,23.6608,1.11536,6.39728,58.092,0,0,9.37163
66.4554,0,1011.55,0,0.58504,0,747.001,0,0.01222,0,14,0,0,4.29048,0,0,0.482165,0,116.39,5.444,20.1581,0,0,108.835,0,1.7734,9.37535
90.9689,0,516.294,0,0.154755,1.73337,566.744,0,0,30.5885,14,0,2.39406,0.764619,10.7809,7.29093,0,0,101.755,4.34376,15.6707,0,0,139.211,0,1.46267,9.48161
50.0661,0,311.619,0,2.78071,1.84696,340.524,0,0,1.21679,10,0,0,4.49925,0,2.00486,0,0,63.557,10.2789,9.52984,0,0,122.565,0,0,9.60644
96.0957,0,1146.55,0,1.25939,0,458.634,0,0,0.814319,14,0,0,1.27644,0,0,0,0,88.041,6.59114,35.8049,0,0,91.227,0,0.868029,9.7086
73.584,0,1074.69,0.995783,1.26363,0,376.194,0,0,0,10,0,0,2.34499,0.06617,0,0,0,114.482,5.41849,22.2878,0,0,77.457,0,0.828901,10.1651
135.252,0,1380.54,1.87469,9.93202,0.163049,1066.58,0,0,0,20,0,0.309358,3.67562,0,0,0,0,108.959,20.7055,42.1698,0,0,128.158,0,2.41796,10.506
67.0044,0,1274.29,0.778636,0,0.725729,471.116,0,0,0,11,0,0,1.51273,0,0,0,0,130.654,6.48147,5.06564,0,0,78.352,0,0,10.5095
92.7106,0,135.758,0,0,0,0,0,0,2.58225,10,0,0,1.90701,0,0,0,0,0,0.600464,13.9351,0,0,0,0,0,10.8113
143.811,0,877.428,1.91635,2.52988,0,710.107,0,0,0.688322,17,1.80905,0,1.84651,0,2.75011,0,0,85.425,4.9897,36.0694,6.5049,8.28048,134.482,0,0.907916,11.1671
109.762,0,4.95427,21.1377,1.85918,1.65273,519.997,0,0,3.46518,13,0.843492,0,4.88968,0,0,0,0,92.81,310.943,567.168,0,0,88.356,0,0,11.4499
70.568,0,227.565,0,0,0,500.373,0,0,0,12,0,0,0,0.096574,0,0,0,66.929,31.7613,63.1074,0,0,123.782,0,1.16124,11.5902
131.382,0,199.115,0,0,0,0,0,0,1.12641,13,0,0,0,0,0,0,0,0,3.18534,0.145196,0,0,0,0,0,11.9531
123.002,0,1016.3,1.19302,3.03906,0.908371,475.948,0,0,0,14,0,0,2.83728,0,0,0,0,84.726,9.05721,12.4397,0,0,91.374,0,0,12.7079
89.1463,0,173.691,0,0.065653,0,0,0,0,0.92202,10,0,0,8.99025,0,0.49792,0,0,0,2.59735,7.69826,0,0.223718,0,0,0.628216,13.1067
64.5942,0,231.72,0,0,0,0,0,0,1.08799,10,0,0,0,0,0,0,0,0,3.20707,4.40979,0,0,0,0,0,13.2623
128.025,0,862.881,0.110682,0,0,741.697,0.973164,0,7.84237,14,0,0.805224,1.29942,1.23597,1.77854,0,0,119.502,12.0069,28.0223,0,0,129.299,0,0,13.5369
170.026,0.104295,26.5092,0,34.153,0,607.594,0,0,0,19,0,0,16.8052,0.25968,0.746693,0,0,38.826,56.4257,227.255,4978.63,3940.71,77.526,20.9444,0,13.6387
112.315,0,2679.42,0.003573,0.569539,0.496922,641.607,0,0,6.40286,14,0,0,5.373,0,0,0,0,87.055,15.9578,52.0877,0,0,53.386,0,3.32375,13.6506
56.8739,0,693.519,0,1.5991,0.077002,472.306,0,0,0,12,0,0,3.17554,0,0,0,0,109.87,3.25771,26.9926,0,0,86.541,0,1.71604,14.2055
135.4,0,541.282,0.489364,0.756513,0,788.765,0,0,0,14,0,0.310981,8.03231,0,0,0,2.92392,84.635,2.42157,5.11036,0,0,138.581,0,1.74931,14.2363
81.0586,0,876.193,0,0.890738,1.59069,390.868,0,0,0,11,0,0,7.72511,0,0,0,0,109.495,6.34477,21.4919,0,0,124.458,0,0,14.8283
93.8817,0,629.959,0,2.4393,0,493.725,0,0,1.57104,13,0,0,3.45509,0,0,1.42136,0,101.052,9.51402,9.6449,0,0,126.631,0,0,15.2398
151.3,0,274.909,0,1.94395,0,590.714,0,0,0.765584,13,0,0,2.87481,0,0,0,0,33.64,0.396329,6.47013,0,0,207.161,0,0,15.3838
56.9274,0,756.849,0,2.36258,1.75657,372.24,0,0,0,10,0,0,3.27427,0,0,0,0,159.767,7.77874,13.47,0,0,82.183,0,0,15.421
81.9131,0,0.837716,0.01959,0,0,497.066,168.559,0,0.248573,12,0,0,3.51949,30.3847,49.5505,0,0,88.559,55.3445,126.478,0,0,132.425,6.92233,0,15.5569
98.5844,0,90.5768,3.66605,12.2066,1.62072,0,0,0.08486,0,12,0,0,5.38734,0,0,0,0,0,10.1627,26.6153,0,0,0,0,3.13681,15.6518
53.9554,0,363.341,0.536683,1.9802,0.216468,468.376,0,1.56017,11.1254,12,0,0,0,0,2.05852,0,0,101.4,8.7419,14.1637,0,0,84.418,0,0.600861,15.747
85.8901,0,471.81,0,0,0,461.083,0,0,2.31507,12,0,0,4.51095,0,0,0,0,78.237,1.86839,3.13122,0,0,75.625,0,0,16.0344
84.1002,0,639.869,0,0.466347,1.5224,632.93,0,0,1.87335,13,0,0,1.014,1.07689,0,0,0,110.122,0,20.632,0,0,161.517,0,0,16.1786
75.4892,0,490.88,0,0,0.052547,479.071,0,0,0,12,0,1.04563,1.21089,0,0,0,0,109.644,7.97105,20.0708,0,0,140.484,0,2.00208,16.2445
75.416,0,5.59665,0,0,0,315.827,145.088,0,0,10,0,0,3.95995,36.5075,75.9867,0,0,36.341,22.1917,52.772,0,0.867274,153.227,0,0,16.5805
82.0133,0,304.171,0,0,0,0,0,0,1.66095,10,0,1.95824,5.31651,0,0,0,0,0,0.630781,4.83883,0,0,0,0,0.910769,17.1384
139.833,0,1387.79,0,3.94918,1.64119,723.46,0,0,1.87912,20,0,0.208989,3.33655,0,0,0,0,78.663,10.9804,21.6257,0,0.601418,130.435,0,0,17.3491
91.4517,0,2637.74,0,0,0,686.511,0,0.720004,0.141193,15,0,0,8.59083,0,0.788294,0,0,106.396,9.99791,37.5572,0,0,52.493,0,0.277773,17.8581
92.1992,0,607.614,0,0.726326,0.062112,0,0,0,0,11,0,0,3.70855,0,0,0,0,0,10.295,17.1591,0,0,0,0,0,17.86
98.8408,0,307.286,0,0,0,372.357,0,0,3.62776,11,0.99438,0,6.3471,0,0,0,0,75.675,4.65789,1.11183,0,0,178.195,0,0,18.0552
150.358,0,1223.68,0,1.74796,0.315143,587.022,0,0,2.26221,24,0,0,17.0687,0,0.010652,0,0,47.773,8.50385,23.4049,0,0,309.787,0,0,18.1446
94.2872,0,0.167752,0,0,0,0,0,0,14.5012,10,0,5.33102,1.76706,0.481411,4.86621,0,0,0,0,0.476628,47.9382,32.7776,0,0,1.83089,18.1647
94.7914,0,1058.22,0,3.16967,0,500.526,0,0,0,14,0,0,1.84246,0,0,0,0,86.325,4.48468,18.0497,0,0,102.979,0,0,18.473
113.075,0,1229.53,0,1.57451,0.502625,441.229,0,0,0.266476,13,0,0,0.322318,0,0,0,0,90.175,7.57073,18.2842,0,0,79.24,0,0,18.6648
79.2261,0,259.278,0,3.79109,0,514.838,0,0,22.9919,13,0,2.54206,6.41764,10.4829,11.9189,0,0,28.454,0,4.88169,3.64043,0.067243,272.197,0,0,18.8061
127.06,0,262.344,0,0,0,541.572,0,0,1.47899,13,0,0,2.148,0,1.4028,0,0,49.731,3.52895,2.03605,0.296819,0,201.936,0,0,18.8665
74.8726,0,430.483,0,2.26705,0.856346,439.664,0,0,3.56971,14,0,0,0,0,0,0,0,105.32,9.50836,10.004,0,0,241.758,0,0.768742,19.4865
121.577,0,875.185,0,1.23763,0.770424,533.494,0,0,1.35274,13,0,0,4.82303,0,0.950527,0,0,86.777,8.13156,33.9755,6.13183,3.45502,92.026,0,2.13196,19.5695
105.161,0,2154.97,0,2.6192,0.264137,594.101,0,0,1.52769,16,0,0,10.2939,0,0,2.44571,0,91.001,7.73306,37.5668,0,0,66.588,0,0,20.0325
150.585,0,2249.85,0,10.4969,2.45092,796.958,0,0,2.87249,19,0,0,8.75794,0,0,0.689744,0,127.803,11.7388,22.4065,0,0,142.81,0,0,20.1288
97.2263,0,347.689,0,2.8303,0.372621,744.634,0,0,1.24244,14,0,0,0.679701,0.019157,0,0,0,44.337,0.495274,3.47435,0,0,219.849,0,2.27235,20.5237
122.441,0,382.27,2.98549,0,0,531.782,0,0,0.828032,12,0,0,3.09446,0,0,0,0,55.023,4.68072,9.35964,0,0,142.557,0,0,20.7348
107.353,0,557.852,0,2.67996,0.378307,537.623,0,0,2.91127,14,0,0,2.39037,0,0,0,0,111.059,4.16379,13.6606,0,0,179.282,0,0,21.1726
55.2405,0,706.484,0,1.81226,0.959721,542.986,0,0,0,12,0,0,4.83341,0,0,0,0,173.87,2.20353,10.8565,0,0,93.529,0,0.358685,21.2065
63.5102,0,492.207,0,0,0.060756,482.014,0,0,0,12,0,0,0,0,0,0,0,94.602,1.01179,5.03662,0,0,156.195,0,0,21.2124
51.5016,0,508.731,0,0,1.80073,510.279,0,0,0,12,0,0,2.50376,0,0,0,0,175.311,2.81389,4.27381,0,0,91.713,0,1.27564,21.3223
63.1308,0,833.351,0,0,0.472919,546.964,0,0,4.84474,14,0,0,4.95056,0,0,0.931334,0,113.035,4.71908,20.7011,0,0,89.307,0,0,21.6089
134.208,0,464.243,0,0.640406,0,598.721,0,0,0,13,0,0.514945,2.67442,0,0,0,0,45.566,1.02179,2.81958,0,0,207.73,0,0,21.6418
127.586,0,1259.9,1.08642,0,0,697.274,0,0.681493,2.55473,15,0,0,3.46912,0,0,0,0,132.439,2.67703,18.2513,0,0,125.935,0,0,21.948
117.771,0,440.645,0,1.56176,0.555332,444.408,0,1.83105,0,14,0.048247,0.908564,4.22594,0,0,0,0,90.123,8.98592,12.5412,0.737022,0,213.847,0,1.75177,22.4273
130.229,0,396.421,0,0,1.21851,505.487,0,0,4.14255,14,0,0,0,0,0,0,0,71.446,3.12616,15.7237,0,0,237.052,0,0,22.5041
148.215,0,390.693,0,2.93468,0,628.879,0,0,0.265385,14,0,0,1.42229,0,0,0,0,39.275,9.61254,5.49009,0,0,236.306,0,0,24.185
94.8605,0,501.978,0,0.160948,0,600.11,0,0,0,13,0,0,2.24638,0,0,0,0,76.347,0,10.0144,0,0,114.793,0,1.13184,24.2173
84.954,0,6.68021,4.13012,0,0,471.843,194.597,0,0,14,0,0,6.86575,23.5114,32.1672,0,0,123.047,222.346,502.325,0,0,144.134,2.73628,0.667646,24.2599
73.1379,0,447.342,0,0,0,0,0,0,0.396305,11,0,0,6.57311,0,0,0,0,0,2.03489,2.94666,0,0,0,0,0,24.8392
114.507,0,208.267,0,0,1.32743,518.381,0,0,0,12,0,0,0.56699,0,0,0,0,34.904,0,0,0,0,173.884,0,1.559,24.8876
64.4177,0,941.309,0,3.5755,0.453811,486.219,0,0,0.290344,12,0,0,3.43202,0.327701,0,0,0,98.305,3.00128,23.2371,0,0,105.881,0,0.458026,24.9255
92.6203,0,224.793,0,0.687221,0.364024,0,0,0,2.93186,12,0,0,1.91175,0.118453,0,0,0,0,2.70543,8.22569,0,0,0,0,0,24.9789
146.64,0,0,12.2516,0.773326,0,1081.19,0,0,4.78116,25,0,0,4.24541,2.28123,0,0,0,126.966,380.079,902.798,0,0,234.686,0,2.43144,25.1182
62.2337,0,371.647,0,0,1.68829,367.343,0,0,1.53164,10,0,0,1.17081,0,0.648015,0.553821,0,238.925,7.04517,3.33371,0,0,136.23,0,0,25.1906
108.305,0,105.74,0,0,0,0,82.5722,0,0,15,0,0,3.17779,3.76471,19.2651,0,0,0,46.9099,84.5318,0,0,0,0,0,25.4679
93.1984,0,2404.21,0.85022,5.13435,0,629.769,0,0,2.75307,16,0,0.453985,9.68394,0,0,0,0,86.943,13.2798,43.5928,0,0,50.217,0,0,25.6383
112.084,0,1556.88,0,1.95631,0.464057,556.954,0,0,0.42385,14,0.247926,0,0.538023,0,0,0,0,99.986,16.3937,35.6582,0,0.835223,75.856,0,0,25.7017
89.4709,0,853.954,0,2.05214,0,530.856,0,0,0,14,0,0,0.01157,0,0,0,0,123.967,2.02433,5.08027,0,0,106.902,0,0,25.8262
65.2061,0,243.941,0,0.156986,0,0,0,0,0.199152,10,0,0,2.77505,0,0,0,0,0,6.63493,0.018442,0,0,0,0,1.45606,26.0216
113.995,0,808.357,0,0,0,638.734,0,0.804789,6.63389,14,0,0,4.39968,0,0,0,0,63.604,3.8729,14.8075,0,0,92.347,0,0,26.4852
90.1562,0,567.455,0,0.929829,0,0,0.089116,0,0,11,0,0.210157,0.824906,0,0,0,1.02454,0,3.86038,3.39436,0,0,0,0,0,26.6666
121.933,0,751.215,0,5.15532,1.30035,702.979,0,0,1.14555,15,0,0,3.51204,0,0,0,0,79.394,3.21863,11.0215,0,0,171.344,0,0,26.967
114.501,0,1010.43,0,0.404717,2.08136,505.759,0,0,1.94708,14,0,0,8.78481,0,0,0,0,77.134,12.3121,16.6913,0,0,119.267,0,0,27.3409
60.0217,0,495.951,0,0.531194,0,384.709,0,0,0,10,0,0,8.43019,0,0,0,0,101.457,1.67269,7.97312,0,0,128.509,0,2.53504,27.7256
130.071,0,376.51,0,0,0,621.176,0,0,0.709434,14,0,0,3.57601,0,0,0,0,53.659,0.849187,5.74105,0,0,242.992,0,1.75366,27.7325
105.061,0,204.896,0,0,0,0,0,0,2.01861,11,0.356929,0,0,0,0.162032,0,0,0,0.266324,5.38793,0,0,0,0,0,28.0103
90.4439,0,1152.65,0,0.858801,0,536.959,0,0,5.12394,13,0,0,3.13415,1.63538,0.296479,0,0,110.152,2.08479,27.293,4.10012,0,63.212,0,0.54031,28.3182
160.814,0,14.0642,0,0,0,0,23.5556,0,0,14,0,0,18.2972,11.6728,14.5667,0,0,0,30.9741,46.8961,0,0,0,0,4.72319,28.3457
92.2801,0,780.527,0,3.7251,3.22742,543.591,0,0,3.30315,13,0,0,4.49909,0,0,0,0,69.977,5.59394,13.6023,0,0,103.015,0,0,28.4067
127.281,0,749.624,0.897941,3.53338,0.49241,761.93,0.615593,0,4.31886,15,0,1.58133,11.8149,2.07006,4.12113,0,0,82.335,10.2942,16.599,76.7647,75.8035,147.162,0,0,28.8995
120.7,0,1485.96,0,3.80286,0.049615,711.034,0.429683,0.823212,8.30214,18,0.630705,0,0,0,0,1.94437,0.798542,102.495,7.38332,30.0626,0,0,85.159,0,0,29.1015
31.5794,0,563.025,0,0,0,479.365,0,0,0,11,0,0,3.61875,0,1.19397,0,0,209.503,9.19096,1.49565,0,0,126.33,0,2.17167,29.4336
133.951,0,915.192,0,1.85362,0,585.306,0,0,0,13,0,0,4.12711,0,0,0,0,79.418,5.43695,14.5117,0,0,91.135,0,0,29.9905
93.8279,0,1011.08,0,1.90748,0,495.474,0,0,0,12,0,0,2.79809,0,0,0,0,82.991,1.08841,14.7079,0,0,57.481,0,0,30.1637
129.548,0,2.93596,0.963767,0,0,0,25.6676,0,0.058696,13,2.67037,0,0.204453,4.94878,20.6612,0,0,0,27.4785,69.5219,0,0,0,0,0,30.2073
120.765,0,1524.62,0,2.15175,0,1059.64,0,0,0,20,0,0,11.2698,0.102087,0,0,0.282442,90.61,13.7818,22.0568,0,0,112.312,0,0,30.4337
126.727,0,609.677,0,0,0,480.403,0,0,5.22942,13,0,0,6.72022,0.758543,0.722515,0,0,79.209,4.91966,15.1544,0,0,130.149,0,0,30.5417
105.013,0,702.559,0,7.36358,2.82305,488.299,0,0,0,12,0,0,1.55316,0,0,0,0,130.825,0,13.1294,0,0,71.798,0,0,30.6311
52.928,0,502.653,1.94885,0,0,431.542,0,0,0.137136,11,0,0,0.531936,0,0,0,0,117.808,13.4708,10.8799,0,0,141.547,0,0,30.9804
72.6773,0,286.988,0,0,1.28553,567.214,0,0,1.00788,13,0,0,1.69519,0,0,0,0,101.322,3.58988,6.71854,0,0,282.194,0,1.9599,31.8857
61.5976,0,175.311,0,2.5002,0,0,0,0,3.65863,10,0,0,6.1424,0,0,0,0,0,3.73605,5.2928,0,0,0,0,0,31.9119
122.362,0,513.932,0,0,0,676.747,0,0,0.290007,14,0,0,5.81156,0,0,0,0,65.986,10.0298,10.2556,0,0,195.179,0,0.800843,32.0564
109.122,0,714.634,0.215451,2.62793,2.31255,456.978,0,0,0,15,0,0,9.37299,0,0,0,0,85.175,13.0689,36.7619,0,0,121.886,0,0,32.1046
